Credit Max,Credit Starting Balance,Address,Identification Number,Savings Account Number,Last Name,Date of Birth,Checking Account Number,First Name,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance
8141,-1855.16,"500 W. University Ave, El Paso, TX 79968",54,2053,Reyes,"July 23, 2019",1053,Hector,3053,(915) 747-5017,1172.38,3919.91
4678,-1440.72,"500 W. University Ave, El Paso, TX 79968",39,2038,Barba,"August 10, 2005",1038,Cezar,3038,(915) 747-5002,626.33,3645.27
7885,-1622.26,"1313 Disneyland Dr, Anaheim, CA 92802",22,2021,De Vil,"April 26, 1986",1021,Cruella,3021,(714) 781-4636,793.36,3073.41
9791,-1280.33,"518 W. University Ave, El Paso, TX 79968",80,2079,S,"October 12, 1935",1079,Daniel,3079,(915) 747-5041,1412.36,4978.14
4717,-1425.26,"1313 Disneyland Dr, Anaheim, CA 92802",26,2025,Khan,"January 12, 2011",1025,Shere,3025,(714) 781-4636,54.11,2795.33
8160,-1496.07,"1313 Disneyland Dr, Anaheim, CA 92802",9,2008,Disney,"March 11, 2016",1008,Ariel,3008,(714) 781-4636,1192.86,2284.40
4210,-1797.10,"500 W. University Ave, El Paso, TX 79968",52,2051,Ramirez,"May 3, 2009",1051,Alejandro,3051,(915) 747-5015,1735.01,51.74
7619,-810.15,"521 W. University Ave, El Paso, TX 79968",83,2082,V,"November 12, 1982",1082,Daniel,3082,(915) 747-5044,99.65,707.08
8406,-1012.27,"522 W. University Ave, El Paso, TX 79968",84,2083,W,"June 5, 1959",1083,Daniel,3083,(915) 747-5045,1377.56,3620.77
4908,-1806.75,"500 W. University Ave, El Paso, TX 79968",50,2049,Nevarez,"September 30, 1941",1049,Osvaldo,3049,(915) 747-5013,48.18,778.88
4989,-688.18,"1313 Disneyland Dr, Anaheim, CA 92802",14,2013,Disney,"December 1, 1966",1013,Aurora,3013,(714) 781-4636,1277.92,3065.48
3459,-757.13,"516 W. University Ave, El Paso, TX 79968",78,2077,Q,"January 22, 1950",1077,Daniel,3077,(915) 747-5039,276.80,1478.50
9409,-320.54,"1313 Disneyland Dr, Anaheim, CA 92802",24,2023,King,"February 14, 1939",1023,Simba,3023,(714) 781-4636,1007.19,957.69
6569,-1857.65,"500 W. University Ave, El Paso, TX 79968",53,2052,Renteria,"April 16, 1997",1052,Luis,3052,(915) 747-5016,458.54,495.76
5073,-219.25,"1313 Disneyland Dr, Anaheim, CA 92802",2,2001,Duck,"May 13, 2001",1001,Donald,3001,(714) 781-4636,667.65,1265.10
3772,-1765.81,"1313 Disneyland Dr, Anaheim, CA 92802",21,2020,Disney,"October 31, 1973",1020,Belle,3020,(714) 781-4636,1696.30,683.44
4897,-736.90,"1313 Disneyland Dr, Anaheim, CA 92802",30,2029,Disney,"February 19, 2002",1029,Pinocchio,3029,(714) 781-4636,901.28,3831.75
4673,-1304.31,"1313 Disneyland Dr, Anaheim, CA 92802",10,2009,Disney,"November 29, 1996",1009,Jasmine,3009,(714) 781-4636,1102.88,102.60
9957,-1972.38,"503 W. University Ave, El Paso, TX 79968",65,2064,C,"October 12, 1999",1064,Daniel,3064,(915) 747-5026,344.89,584.28
6700,-1152.84,"500 W. University Ave, El Paso, TX 79968",58,2057,Vanarsdall,"June 15, 1958",1057,Jeffrey,3057,(915) 747-5021,1057.39,1759.60
5753,-1016.23,"513 W. University Ave, El Paso, TX 79968",75,2074,N,"July 29, 1960",1074,Daniel,3074,(915) 747-5036,1230.07,1137.35
9708,-1752.06,"1313 Disneyland Dr, Anaheim, CA 92802",27,2026,Hook,"July 15, 1987",1026,Captaiin,3026,(714) 781-4636,887.81,2756.31
7774,-936.94,"510 W. University Ave, El Paso, TX 79968",72,2071,J,"February 11, 1966",1071,Daniel,3071,(915) 747-5033,642.54,1429.77
6268,-515.07,"1313 Disneyland Dr, Anaheim, CA 92802",33,2032,Disney,"August 19, 2016",1032,Hercules,3032,(714) 781-4636,407.21,1590.46
5368,-46.00,"517 W. University Ave, El Paso, TX 79968",79,2078,R,"May 31, 2012",1078,Daniel,3078,(915) 747-5040,1917.29,1302.35
4025,-943.63,"1313 Disneyland Dr, Anaheim, CA 92802",12,2011,Disney,"January 9, 2008",1011,Simba,3011,(714) 781-4636,942.21,2368.43
3271,-1759.60,"500 W. University Ave, El Paso, TX 79968",59,2058,Viezcas,"December 15, 1978",1058,German,3058,(915) 747-5022,276.07,1336.02
8534,-926.26,"500 W. University Ave, El Paso, TX 79968",62,2061,Mejia,"May 24, 1938",1061,Daniel,3061,(915) 747-5023,1242.85,3591.00
6609,-1056.30,"1313 Disneyland Dr, Anaheim, CA 92802",4,2003,Disney,"September 7, 1998",1003,Goofy,3003,(714) 781-4636,1425.22,2222.99
3175,-333.23,"500 W. University Ave, El Paso, TX 79968",37,2036,Acosta,"September 11, 1943",1036,Bryan,3036,(915) 747-5000,769.94,4753.30
9762,-1153.86,"1313 Disneyland Dr, Anaheim, CA 92802",13,2012,Disney,"July 20, 1988",1012,Mufassa,3012,(714) 781-4636,95.26,3580.99
8650,-1873.32,"1313 Disneyland Dr, Anaheim, CA 92802",11,2010,Disney,"September 9, 1947",1010,Aladdin,3010,(714) 781-4636,280.51,831.85
9220,-1176.45,"512 W. University Ave, El Paso, TX 79968",74,2073,L,"May 13, 1983",1073,Daniel,3073,(915) 747-5035,157.21,4728.23
4452,-1360.49,"509 W. University Ave, El Paso, TX 79968",71,2070,I,"March 4, 1948",1070,Daniel,3070,(915) 747-5032,821.55,3314.18
9894,-670.79,"502 W. University Ave, El Paso, TX 79968",64,2063,B,"October 19, 2018",1063,Daniel,3063,(915) 747-5025,815.65,3618.81
3636,-603.19,"1313 Disneyland Dr, Anaheim, CA 92802",35,2034,Disney,"January 3, 1946",1034,Lilo,3034,(714) 781-4636,1931.67,3864.91
7205,-1480.83,"1313 Disneyland Dr, Anaheim, CA 92802",28,2027,Disney,"May 9, 2014",1027,Kaa,3027,(714) 781-4636,489.91,805.99
9753,-1401.29,"520 W. University Ave, El Paso, TX 79968",82,2081,U,"February 21, 1984",1081,Daniel,3081,(915) 747-5043,1539.59,397.14
9289,-384.94,"1313 Disneyland Dr, Anaheim, CA 92802",16,2015,Disney,"March 20, 1998",1015,Woody,3015,(714) 781-4636,752.50,2054.97
7776,-1008.17,"1313 Disneyland Dr, Anaheim, CA 92802",5,2004,Disney,"March 24, 1979",1004,Pluto,3004,(714) 781-4636,1937.14,3807.05
3316,-1950.01,"1313 Disneyland Dr, Anaheim, CA 92802",7,2006,Disney,"December 15, 1950",1006,Dale,3006,(714) 781-4636,1331.26,4436.83
9531,-646.50,"1313 Disneyland Dr, Anaheim, CA 92802",29,2028,Queen,"June 19, 1946",1028,Evil,3028,(714) 781-4636,118.73,1008.94
6230,-544.69,"1313 Disneyland Dr, Anaheim, CA 92802",6,2005,Disney,"January 30, 1949",1005,Chip,3005,(714) 781-4636,1748.77,2416.18
6354,-763.53,"500 W. University Ave, El Paso, TX 79968",45,2044,Martinez,"May 28, 1985",1044,Lorenzo,3044,(915) 747-5008,910.22,3272.43
7368,-1016.72,"500 W. University Ave, El Paso, TX 79968",57,2056,Trejo,"August 27, 1993",1056,Ruth,3056,(915) 747-5020,749.23,1559.73
